movie_id,title,genres
1,3 Idiots,Drama|Comedy
2,Lagaan,Drama|Sports
3,Dangal,Drama|Biography
4,PK,Comedy|Drama
5,Queen,Drama|Adventure
6,Bajrangi Bhaijaan,Drama|Action
7,Bahubali,Action|Drama
8,Sholay,Action|Adventure
9,Taare Zameen Par,Drama|Family
10,Gully Boy,Drama|Music
11,Swades,Drama|Social
12,Zindagi Na Milegi Dobara,Drama|Comedy
13,Chennai Express,Action|Comedy
14,Barfi!,Romance|Comedy
15,Uri,Action|War
16,Tanhaji,Action|Drama
17,Padmaavat,Drama|History
18,Andhadhun,Thriller|Crime
19,Raazi,Drama|Thriller
20,Secret Superstar,Drama|Music
